,online_order,book_table,rate,votes,location,rest_type,cost,menu_item
171,1,0,3.5,57,1,73,200.0,8242
172,1,0,3.8,120,1,73,250.0,8242
173,1,0,3.8,15,4,0,400.0,8242
174,1,0,4.2,64,4,73,500.0,8242
175,1,0,3.6,66,1,73,150.0,8242
176,1,0,3.0,290,1,73,450.0,8242
177,1,0,4.1,233,4,73,200.0,8242
178,1,0,3.8,115,48,73,250.0,8242
179,1,0,3.1,119,1,24,700.0,8242
180,1,1,3.9,291,31,16,650.0,4499
181,1,0,4.5,155,31,11,300.0,8242
182,1,0,4.1,305,48,24,700.0,8242
183,1,0,3.6,46,1,73,500.0,8242
184,1,0,3.5,45,48,73,350.0,8242
185,1,0,3.9,38,1,37,150.0,8242
186,1,0,3.9,441,1,73,400.0,8242
187,1,0,3.9,25,4,73,100.0,5142
188,1,0,4.3,630,31,73,200.0,8242
189,1,0,3.8,25,48,73,150.0,1165
190,1,0,3.9,160,48,73,300.0,8242
191,1,0,4.2,287,1,73,350.0,8242
192,1,0,3.6,11,4,73,100.0,234
193,1,0,4.1,402,1,16,500.0,8242
194,1,0,3.8,469,4,24,750.0,8242
195,1,0,3.3,511,48,24,550.0,8242
196,1,0,3.9,57,1,73,200.0,4455
197,1,0,3.4,14,1,73,300.0,8242
198,1,0,3.9,264,1,73,200.0,8242
199,1,0,3.0,62,1,16,400.0,8242
200,1,0,3.8,693,1,24,750.0,8242
201,1,0,3.8,242,31,24,650.0,8242
202,1,0,3.6,27,4,37,250.0,8242
203,1,0,4.1,163,4,73,500.0,8242
204,1,0,4.2,191,4,73,250.0,6460
205,1,0,3.5,32,1,73,150.0,8242
206,1,0,2.5,247,1,24,500.0,8242
207,1,1,4.1,2339,31,24,1500.0,8242
208,1,0,4.1,337,31,73,300.0,8242
209,1,0,3.9,135,1,24,800.0,8242
210,1,0,3.6,172,83,24,700.0,8242
211,1,0,3.6,105,1,24,700.0,8242
212,1,0,4.2,504,1,16,550.0,8242
213,1,0,3.2,36,48,73,200.0,8242
214,1,0,3.1,39,48,73,300.0,8242
215,1,0,3.1,5,48,24,500.0,8242
217,1,1,4.3,1129,31,24,1300.0,8242
218,1,0,3.9,56,48,73,350.0,8242
219,1,0,4.3,860,1,37,500.0,8242
220,1,0,3.8,412,31,24,700.0,8242
221,1,1,3.9,142,31,24,1000.0,8242
222,1,0,3.0,23,31,73,400.0,8242
223,1,0,3.6,143,31,24,750.0,8242
224,1,1,2.8,80,31,24,500.0,8242
225,1,0,3.6,16,29,24,400.0,8242
226,1,0,4.4,181,31,11,250.0,8242
227,1,0,3.8,70,31,73,200.0,8242
228,1,0,3.8,164,4,73,600.0,8242
229,1,0,3.6,58,48,73,650.0,8242
230,0,0,3.8,148,4,26,550.0,8242
231,0,0,3.9,206,4,73,450.0,8242
234,0,0,3.6,16,56,73,300.0,8242
235,0,0,3.7,217,4,24,450.0,8242
236,0,0,3.6,46,4,73,450.0,8242
237,0,0,3.8,148,4,73,150.0,8242
238,0,0,3.4,30,4,37,250.0,8242
239,0,0,3.6,8,56,24,800.0,8242
240,0,0,3.3,4,31,73,250.0,8242
241,0,0,3.5,15,4,5,400.0,8242
245,1,0,3.4,9,83,73,200.0,8242
247,1,0,3.7,31,56,73,300.0,222
248,1,0,2.9,177,31,24,700.0,8242
249,1,0,3.7,22,4,83,250.0,8242
250,1,0,3.5,10,48,11,100.0,4903
251,1,0,3.7,136,1,73,600.0,8242
252,1,0,2.9,35,48,73,250.0,8242
253,1,0,4.1,185,31,73,200.0,8242
254,1,0,3.2,17,31,16,900.0,8242
255,1,0,3.8,155,56,24,400.0,8242
256,1,0,3.8,42,1,73,300.0,4753
257,1,0,3.8,286,4,24,600.0,8242
258,1,0,3.8,160,1,24,700.0,8242
259,1,0,3.8,59,1,24,750.0,8242
260,1,0,3.5,90,31,24,500.0,8242
261,1,0,3.7,51,48,73,350.0,8242
262,1,0,4.0,89,31,73,200.0,8242
263,1,0,3.6,18,1,73,250.0,8242
264,1,0,3.9,40,4,24,600.0,8242
265,1,0,2.5,35,4,73,200.0,8242
266,1,0,3.4,89,31,73,250.0,8242
267,1,0,3.2,11,4,73,150.0,8242
268,1,0,3.6,62,1,76,600.0,8242
269,1,0,3.9,33,31,37,300.0,8242
270,1,0,3.8,32,31,83,250.0,8242
271,1,0,4.1,139,31,24,550.0,8242
272,1,0,3.2,154,86,73,300.0,8242
273,1,0,3.6,14,1,0,350.0,8242
274,1,0,3.7,237,1,73,200.0,5145
275,1,0,3.9,388,1,24,650.0,8242
277,1,0,3.9,128,48,24,500.0,147
278,1,1,4.1,1875,31,24,1200.0,8242
279,1,0,3.8,90,1,16,650.0,8242
280,1,0,3.1,7,48,73,250.0,4039
281,1,0,3.7,38,83,24,400.0,6107
282,1,0,4.2,179,1,36,600.0,8242
283,1,0,4.0,43,4,37,250.0,8242
284,1,0,4.3,275,4,73,100.0,4426
285,1,0,3.7,323,31,24,850.0,8242
286,1,0,3.1,28,83,24,400.0,4433
287,1,0,3.9,18,4,73,200.0,8242
288,1,0,3.3,6,4,73,100.0,8242
290,1,0,4.3,322,31,24,400.0,8242
291,1,0,2.6,157,31,16,450.0,8242
292,1,0,3.9,543,4,73,300.0,4446
293,1,0,3.7,180,1,16,500.0,8242
294,1,0,4.2,444,4,73,100.0,6363
295,1,0,3.9,134,31,73,400.0,6814
296,1,0,3.8,577,31,24,900.0,8242
297,1,0,4.2,60,1,73,200.0,156
298,1,0,3.9,144,31,24,550.0,8242
299,1,0,4.1,787,1,24,800.0,8242
300,1,0,3.6,16,4,73,200.0,7393
301,1,0,3.6,84,1,73,250.0,162
302,1,0,3.6,95,1,73,150.0,5320
303,1,1,4.0,349,1,24,1200.0,8242
304,1,0,3.7,248,48,73,400.0,8242
305,1,0,4.1,216,4,16,500.0,8242
307,1,0,4.0,324,1,16,700.0,8242
308,1,0,2.6,231,48,73,400.0,7231
309,1,0,3.4,102,83,24,400.0,1171
310,1,0,3.9,133,1,16,800.0,8242
311,1,0,2.8,45,1,24,800.0,8242
312,1,0,3.9,149,48,73,300.0,8242
313,1,0,3.8,75,1,73,200.0,8242
314,1,0,4.0,53,67,36,600.0,8242
315,1,1,4.2,815,31,24,900.0,8242
316,1,1,4.0,633,1,24,800.0,8242
317,1,0,3.5,56,31,37,400.0,8242
318,1,0,3.0,82,1,73,300.0,6470
319,1,0,3.7,35,31,73,200.0,8242
320,1,0,3.6,20,4,73,150.0,474
